subject,gender_pool,jpeg_count_deepcat,est_usable_at_33pct,enough_for_20,fame_risk_my_guess,commons_category
Annie Lööf,F,834,275,yes,high (former party leader),https://commons.wikimedia.org/wiki/Category:Annie_L%C3%B6%C3%B6f
Sofie Carsten Nielsen,F,259,85,yes,med (former party leader),https://commons.wikimedia.org/wiki/Category:Sofie_Carsten_Nielsen
Ebba Busch,F,238,78,yes,high (deputy PM),https://commons.wikimedia.org/wiki/Category:Ebba_Busch
Li Andersson,F,145,47,yes,"med (party leader, MEP)",https://commons.wikimedia.org/wiki/Category:Li_Andersson
Maria Ohisalo,F,107,35,yes,med (former minister),https://commons.wikimedia.org/wiki/Category:Maria_Ohisalo
Krista Kiuru,F,102,33,yes,med-low (former minister),https://commons.wikimedia.org/wiki/Category:Krista_Kiuru
Attje Kuiken,F,28,9,no,low (MP),https://commons.wikimedia.org/wiki/Category:Attje_Kuiken
Mona Keijzer,F,20,6,no,low-med (minister),https://commons.wikimedia.org/wiki/Category:Mona_Keijzer
Lilian Marijnissen,F,13,4,no,low (ex-SP leader),https://commons.wikimedia.org/wiki/Category:Lilian_Marijnissen
Pernille Skipper,F,8,2,no,low,https://commons.wikimedia.org/wiki/Category:Pernille_Skipper
Jüri Ratas,M,827,272,yes,high (former Estonian PM),https://commons.wikimedia.org/wiki/Category:J%C3%BCri_Ratas
Pekka Haavisto,M,370,122,yes,high (presidential candidate),https://commons.wikimedia.org/wiki/Category:Pekka_Haavisto
Urmas Reinsalu,M,368,121,yes,med-high (party leader),https://commons.wikimedia.org/wiki/Category:Urmas_Reinsalu
Jimmie Åkesson,M,219,72,yes,"high (party leader, SD)",https://commons.wikimedia.org/wiki/Category:Jimmie_%C3%85kesson
Rob Jetten,M,132,43,yes,high (NL prime minister as of 2026),https://commons.wikimedia.org/wiki/Category:Rob_Jetten
Klaas Dijkhoff,M,115,37,yes,"med-low (ex-VVD leader, left politics)",https://commons.wikimedia.org/wiki/Category:Klaas_Dijkhoff
Ville Niinistö,M,29,9,no,low (MEP),https://commons.wikimedia.org/wiki/Category:Ville_Niinist%C3%B6
Antti Lindtman,M,10,3,no,low,https://commons.wikimedia.org/wiki/Category:Antti_Lindtman
Touko Aalto,M,4,1,no,low,https://commons.wikimedia.org/wiki/Category:Touko_Aalto
Jesse Klaver,M,FETCH_FAILED,,,"med-low (ex-GL leader, left politics)",https://commons.wikimedia.org/wiki/Category:Jesse_Klaver
